iyear,imonth,iday,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1_txt,target1,gname,weaptype1_txt,nkill,nwound,summary,scite1,date
2002,8,7,Jammu and Kashmir,Tral,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Ghulam Hassan Jan, president of a Tehsil and official of Kashmir's ruling party National Conference",Unknown,Firearms,1.0,0.0,"08/07/2002: Unknown militants shot dead a tehsil (administrative subdivision of Indian districts) president and official of Kashmir’s National Conference party, Ghulam Hassan Jan, in Tral, 40 kilometers south of Srinagar, Indian Kashmir. This attack occurred just before stat polls that were to start on September 16, 2002.","“Indian agency reports Kashmir official shot dead by militants,” BBC Monitoring International Reports, August 7, 2002.",2002-08-07
2002,8,7,Jammu and Kashmir,Patrada,Armed Assault,Private Citizens & Property,Vehicles/Transportation,A couple and their 2 kids in Patrada village,Unknown,Firearms,4.0,0.0,"08/07/2002: Islamic militants barged into a family house in Patrada village in Rajouri District, Jammu and Kashmir, India. They shot dead the couple and their two kids, aged 2 and 4.","“'Terrorists' Gunned Down 4 Family Members in Kashmir Village,” New Delhi Hindustan Times, August 8, 2002.",2002-08-07
2002,8,8,Jammu and Kashmir,Bijbehara,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,Security convoy at Bijbehara,Unknown,Explosives,0.0,15.0,"08/08/2002: Islamic separatist militants lobbed a grenade towards a security convoy at Bijbehara on Srinagar-Jammu national highway, Indian Kasmir. The militants missed their target and injured 15 pedestrians.","“Ten injured in grenade attack on security convoy in Kashmir,” BBC monitoring International Reports, August 8, 2002.",2002-08-08
2002,8,13,Jammu and Kashmir,Pulwama district,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Indian forces in South Kashmir,Kashmiri extremists,Explosives,4.0,23.0,"08/13/2002: Kashmiri militants ambushed a bus filled with Indian servicemen in Sophian area of Pulwama district, South Kashmir. The assailants fired a rocket towards the bus and then opened fire. 4 soldiers were killed, including 2 officers, and 17 others injured. Besides, 6 civilians were also injured. Soldiers returned the fire but the militants managed to escape. No claim of responsibility has been made.","“Two Indian soldiers killed in militant attack in Kashmir, BBC Monitoring International Reports, August 14, 2002.",2002-08-13
2002,8,13,Jammu and Kashmir,Srinagar district,Bombing/Explosion,Military,Paramilitary,"Indian Paramilitary forces in Srinagar area, Jammu & Kashmir",Unknown,Explosives,1.0,21.0,"08/13/2002: Militants hurled a hand grenade towards a paramilitary patrol near Srinagar, capital of Jammu & Kashmir. They missed their target one civilian and injured 21 others, including 4 Central Reserve Police Force (CRPF).","“One killed, 21 injured in Kashmir grenade attack,” Channel News Asia, August 14, 2002.",2002-08-13
2002,8,0,Jammu and Kashmir,Rajouri district,Armed Assault,Private Citizens & Property,Religion Identified,Muslim villagers at Dudansaballa,Militants,Firearms,8.0,0.0,"8/24/2002: Militants attacked Muslim villagers in Dudansaballa, Jammu and Kashmir, India. The assailants opened fire on the villagers, killing eight people. No group claimed responsibility for the incident.","""With polls near, militants mow down 12 in Jammu region,"" Press Trust of India, August 24, 2002.",
2002,8,25,Jammu and Kashmir,Poonch district,Armed Assault,Police,Police Security Forces/Officers,The family members of a police officer near Iqbal Nagar,Muslim Militants,Firearms,4.0,3.0,"8/25/2002: Two suspected Muslim militants attacked the family of a police officer near Iqbal Nagar village, Jammu and Kashmir, India. The assailants broke into the officer's house and opened fire, killing four people and seriously wounding another three. No group claimed responsibility for the incident and the motive is unknown; however, the attack occurred in the lead up to provincial elections.","""Four civilians, four Muslim rebels killed in Indian-Kashmir,"" Agence France Presse, August 26, 2002.",2002-08-25
2002,8,27,Jammu and Kashmir,Palhalan,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Haji Aziz Bhat,Unknown,Firearms,1.0,,"08/27/2002: Haji Aziz Bhat, a pro-Indian National Conference activist was shot and killed by suspected militants close to his home near Palhalan, in Jammu and Kashmir, India.","“Kashmir Violence: 7, including 4 ‘Infiltrators’ Killed in Separate Incidents,"" Daily Excelsior, August 27, 2002.",2002-08-27
2002,8,30,Jammu and Kashmir,Udhampur district,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Three family members of the Bakarwal community,Unknown,Firearms,3.0,0.0,08/30/2002: Three family members of the Bakarwal community were killed in the Udhampur District’s Malwani hamlet in India. The perpetrators of the attack shot three members of the family. No group claimed responsibility for the shooting.,"""Terrorists Kill Three Civilians in Kashmir’s Udhampur District,” Doordarshan DD-1 National Television, August 31, 2003.",2002-08-30
2002,9,1,Jammu and Kashmir,Gunthal,Armed Assault,Government (General),"Government Personnel (excluding police, military)","The children of Revenue Department employee, Mohd Qayoom",Unknown,Firearms,2.0,1.0,"09/01/2002: At approximately 11:30pm local time, unknown perpetrators entered the house of Mohd Qayoom, a Revenue Department official on election duty, in the village of Gounthal, Jammu and Kashmir, India and open fired. The attack killed two of Qayoom’s children, Ruksar Ahmed, 10 and Zaheen Akhter, 12, and seriously wounded one other, Ruksana Kausar, 8. The perpetrators then escaped the scene.","“Terrorists kill two children of election duty officer in Kashmir,” Jammu Daily Excelsior, September 2, 2002.",2002-09-01
2002,9,1,Jammu and Kashmir,Bandipora,Hostage Taking (Kidnapping),Government (General),Politician or Political Party Movement/Meeting/Rally,Ghulam Mohammad Bhat from the National Conference party,Muslim Militants,Melee,1.0,0.0,"9/1/2002: Suspected Muslim militants abducted Ghulam Mohammad Bhat from his home in Ayhtmulla village, Jammu and Kashmir, India. Bhat was a leader of the National Conference (NC). His decapitated body was found the next day in a field near his village; it took several hours of searching to locate his head in the same area. The incident occurred two weeks ahead of state elections.","Mujtaba Ali Ahmad, ""Suspected Islamic rebels kill three ruling party members in Kashmir,"" Associated Press, September 2, 2002.",2002-09-01
2002,9,2,Jammu and Kashmir,Sheikhpora,Assassination,Government (General),"Government Personnel (excluding police, military)","Sheikh Mustafa Kamaal, state Industries Minister",Militants,Firearms,0.0,1.0,"9/2/2002: Suspected militants opened fire at a National Conference election rally in Sheikhpora, Jammu and Kashmir, India. The assailants targeted a motorcade that was transporting Sheikh Mustafa Kamaal, state Industries Minister, after he had addressed the rally. No one was killed in the attack; however, one National Conference activist was injured and at least one vehicle was damaged. No group claimed responsibility for the incident, which occurred two weeks before state elections were scheduled to begin.","""Two ruling party activists killed, rally fired upon in Kashmir [Corrected 09/02/02],"" Agence France-Presse, September 2, 2002.",2002-09-02
2002,9,5,Jammu and Kashmir,Kunzer,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Mustafa Lone, a member of National Conference party",Muslim Militants,Firearms,1.0,0.0,"9/5/2002:  Suspected Muslim militants attacked Mustafa Lone, a member of the National Conference ruling party, at his home in Kunzer, Jammu and Kashmir, India. The assailants stormed into Lone's house, shooting and killing him. The assailants fled and no group claimed responsibility for the incident. Violence has been escalating in the lead up to the state elections.","Mujtaba Ali Ahmad, ""Political workers killed in Kashmir attack,"" Associated Press Newswires, September 5, 2002.",2002-09-05
2002,9,5,Jammu and Kashmir,Srinagar,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Mohammed Amin, from the People's Democratic Party",Muslim Militants,Firearms,1.0,0.0,"9/5/2002:  Suspected Muslim militants shot and killed Mohammed Amin from the People's Democratic Party in Wanabal, Jammu and Kashmir, India. The assailants knocked on the door of a house belonging to a party candidate, Mohammed Abbas Khan; when Amin opened the door, they shot him. Police believe the attackers mistook Amin for Khan. The assailants fled and no group claimed responsibility for the incident. Violence has been escalating in the lead up to the state elections.","Mujtaba Ali Ahmad, ""Political workers killed in Kashmir attack,"" Associated Press Newswires, September 5, 2002.",2002-09-05
2002,9,6,Jammu and Kashmir,Gorni,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Sheikh Abdul Rahman,Jamiat ul-Mujahedin (JuM),Firearms,4.0,2.0,"09/06/2002: Suspected Islamic militants killed Sheikh Abdul Rahman, a Bahujan Samaj Party candidate for the State Assembly, as well as his driver, Ghulam Mohiuddin Teli, and his nephew, Nazir Ahmad Sheikh. The perpetrators began shooting at the victims as their convoy reached Gori on the Bandpora-Daripora road in Jammu and Kashmir, India. Another nephew of Rahman, Abdul Aziz Sheikh, was injured and later died after being rushed to the hospital. Mohammad Ramzan Sheikh and another person were also injured in the attack. Jamaat-ul Mujahideen claimed responsibility for the incident.","“Terrorists kill independent election candidate, associates in Kashmir,” The Srinagar Times, September 7, 2002.",2002-09-06
2002,9,8,Jammu and Kashmir,Dodasan Pain,Armed Assault,Private Citizens & Property,Religion Identified,A Hindu family living in Dodasanpai village,Muslim Militants,Firearms,5.0,0.0,"9/8/2002: Two suspected Muslim militants attacked a Hindu family in Dodasanpai village, Jammu and Kashmir, India. The militants stormed the family's home and opened fire, killing two women and three men. Indian officials state that the militants were trained by Pakistan and are motivated to prevent the Indian public from voting in the state elections.","""Five killed by suspected Islamic militants in Indian Kashmir,"" Agence France-Presse, September 9, 2002.",2002-09-08
2002,9,11,Jammu and Kashmir,Kupwara,Assassination,Government (General),"Government Personnel (excluding police, military)",Mushtaq Ahmed Lone,Al-Arifeen,Firearms,3.0,5.0,"09/11/2002: Mushtaq Ahmed Lone, the Kashmir Law Minister, was assassinated at an election rally in Kupwara, India, by suspected Islamic militants. Security officials said a militant, clad in a burqa and seated in the segregated women's enclosure, took an AK-47 assault rifle from under his robe and opened fire on Lone as he rose to address the rally. At least two other gunmen in the crowd also opened fire simultaneously, killing the Minister's two bodyguards and wounding the five others, who were standing nearby. All three militants escaped in the ensuing confusion. Lashkar-e-Taiba, Al Barq and Al-Ariseen each claimed responsibility, but the actual party responsible has not been verified.","Rahul Bedi, ""Kashmir Minister Shot Dead at Rally,"" The Daily Telegraph London, September 12, 2002.",2002-09-11
2002,9,11,Jammu and Kashmir,Surankot,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians at a bus stand in Surankote,Muslim Rebels,Firearms,12.0,18.0,"9/11/2002: Suspected Muslim rebels opened fire on a bus stand in Surankote, Jammu and Kashmir, India. Twelve people were killed in the attack, including civilians, police, Border Security Force members, and two of the assailants. Another 18 people were injured. The motive behind the attack is unknown; however, the bus stand was located near to an election rally. Violence in the area has been escalating leading up to the state elections.","""Seven dead in Kashmir bus stand attack,"" Agence France-Presse, September 11, 2002.",2002-09-11
2002,9,15,Jammu and Kashmir,Anantnag District,Assassination,Government (General),"Government Personnel (excluding police, military)",Jammu and Kashmir Tourism Minister Sakeena Itoo,Unknown,Explosives,1.0,2.0,"09/15/2002: At approximately 12:30pm local time, Jammu and Kashmir Tourism Minister Sakeena Itoo survived an assassination attempt in the Anantnag district of Jammu and Kashmir, India, while on her way to Danev-Kandimarg for an election rally. Unknown militants detonated an improvised explosive device (IED) and open fired on the Minister’s motorcade; one person in the convoy was killed and two others were wounded in the attack.","“Attack on Tourism Minister attempt by Pakistan to disrupt Kashmir polls,” New Delhi All India Radio Home News Service, September, 15, 2002.",2002-09-15
2002,9,16,Jammu and Kashmir,Batpora,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians in the vicinity of a polling station,Militants,Explosives,0.0,2.0,"9/16/2002: A bomb exploded near a polling station in Batpora, Jammu and Kashmir, India. Two men were wounded in the explosion; it is unknown whether they were voters or passers-by. No group claimed responsibility; however, authorities believe that militants are responsible for the incident. Separatist Muslim militants have threatened to escalate violence in order to derail the election process.","""Two hurt in bomb blast near Kashmir voting station,"" Reuters News, September 16, 2002.",2002-09-16
2002,9,19,Jammu and Kashmir,Jamaslan,Armed Assault,Private Citizens & Property,Religion Identified,Hindu students and teachers at a government high school,Militants,Firearms,2.0,,"9/19/2002: Militants stormed into a government high school in Jamalsan, Jammu and Kashmir, India. The assailants separated the Hindu teachers and students from the rest of the group; they opened fire on the Hindu group. One teacher and one student were killed in the attack. The attackers fled following the incident and no group claimed responsibility. The attack occurred during escalated violence leading up to the second round of state elections.","""Five army jawans among 12 killed in Jammu,"" The Press Trust of India, September 19, 2002.",2002-09-19
2002,9,19,Jammu and Kashmir,Srinagar,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,"Azad Ahad Khan, a National Conference worker",Al-Arifeen,Firearms,1.0,0.0,"9/19/2002: Suspected militants shot a National Conference worker in Srinagar, Jammu and Kashmir, India. Azad Ahad Khan was shot from close range and died later in hospital. The group Al-Arifeen claimed responsibility for the incident. The incident occurred during escalated violence leading up to the second round of state elections.","Sheikh Mushtaq and Terry Friel, ""Rally turns violent in Indian Kashmir ahead of vote,"" Reuters News, September 20, 2002.",2002-09-19
2002,9,21,Jammu and Kashmir,Mirhama,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Jammu and Kashmir Minister of Tourism Sakina Itoo while traveling in Mirhama.,Hizbul Mujahideen (HM),Explosives,2.0,5.0,"09/21/2002: Jammu and Kashmir Minister of Tourism, Sakina Itoo, escaped an assassination attempt when unknown militants detonated a landmine and opened fire on her convoy at Mirhama in Kulgam. Two people were killed in the attack and five other people were injured.","“Hizbul Mujahideen claims onus for attack on Kashmir minister,” New Delhi Doordarshan Kashir, September 21, 2002.",2002-09-21
2002,9,26,Jammu and Kashmir,Srinagar,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,Indian Army convoy passing through Srinagar,Unknown,Explosives,0.0,14.0,"09/26/2002: Unidentified militants threw a grenade at an Army vehicle in Srinagar, India, but it missed and landed in a crowded market place. Fourteen people, including two Army personnel, were injured in the attack.","“Four securitymen among 14 killed, 19 injured in incidents across Kashmir,” Srinagar Greater Kashmir, September 27, 2002.",2002-09-26
2002,9,28,Jammu and Kashmir,Pahloo,Bombing/Explosion,Private Citizens & Property,Political Party Member/Rally,"Khalida Mushtaq, an NCP Candidate",Unknown,Explosives,4.0,2.0,"09/28/2002: At approximately 2:30pm local time, unidentified militants detonated a powerful improvised explosive device (IED) on the Kulgam-Devsar road in the village Pahloo, targeting the vehicle of the Nationalist Congress Party (NCP) candidate, Khalida Mushtaq, was preparing to address a rally. Mustaq and one other person were seriously injured and four people were killed in the attack. Al-Aarifeen claimed responsibility for the attack.","“Kashmir Militants Intensify Violence Ahead of 3cd Phase of Elections,” Jammu Daily Excelsior, September 29, 2002.",2002-09-28
2002,10,1,Jammu and Kashmir,Hiranagar,Armed Assault,Transportation,Bus (excluding tourists),Hindu civilians on a bus in Hiranagar,Unknown,Firearms,4.0,,"10/01/2002: Suspected Islamic militants opened fire on a bus in Hiranagar after it crossed into the Kathua district in Kashmir. At least 4 people were killed in the attack, which was motivated by state elections that militants had vowed to disrupt.","“Four Killed in Attack on Bus by Suspected Islamic Militants in Indian Kashmir,” Agence France Presse, October 2, 2002.",2002-10-01
2002,10,2,Jammu and Kashmir,Jaktial,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Three members of the National Conference Party in Jaktial,Unknown,Firearms,3.0,0.0,"10/02/2002: Islamic militants shot dead three political activists in Jaktial, India. The perpetrators followed this attack with a threat to kill anyone taking part in the elections in Kashmir. The activists were a part of the ruling National Conference Party. One was the village head while the other two were on the village committee.","“Five soldiers killed in Kashmir landmine blast,” Agence France Presse, October 2, 2002.",2002-10-02
2002,10,8,Jammu and Kashmir,Doda,Armed Assault,Government (General),Election-related,"Voters at a polling station in Doda, India",Lashkar-e-Taiba (LeT),Explosives,3.0,,"10/08/2002: Suspected Islamic militants from the Lashkar-e Taiba lobbed grenades into a polling station in Doda, India before opening fire. This attack occurred just after voting began. Two security personnel and one of the attackers were killed.","“Two killed in attack on polling station in Kashmir,” Agence France Presse, October 8, 2002.",2002-10-08
2002,10,11,Jammu and Kashmir,Kangan,Assassination,Private Citizens & Property,Political Party Member/Rally,Abdul Rashid Ganai,Unknown,Explosives,1.0,3.0,10/11/2002: Unidentified Islamic rebels threw a grenade at the house of a defeated state candidate injuring him and two of his security guards while killing a third.,"“One killed, three injured in attack on defeated Kashmir candidate,” Agence France Presse, October 12, 2002.",2002-10-11
2002,10,23,Jammu and Kashmir,Anantnag,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,"Civilians at a market in Anantnag, Kashmir",Unknown,Explosives,0.0,7.0,"10/23/2002: Suspected Islamic militants threw a grenade into a market in Anantnag, Kashmir wounding seven people. No specific group claimed responsibility for this attack.","Ahmad, Mujtaba Ali, “Kashmir attacks kill three,” The Advertiser, October 24, 2002.",2002-10-23
2002,11,2,Jammu and Kashmir,Srinagar,Bombing/Explosion,Private Citizens & Property,Named Civilian,"Mufti Muhammad Sayeed, Indian Politician in Srinagar",Al-Umar Mujahideen,Explosives,0.0,1.0,"11/02/2002: Perpetrators fired two grenades on the residence of the newly appointed Minister Sayeed Nowgam in outskirts of Srinagar, Jammu and Kashmir, India, hours before he was due to be sworn in. Mr. Sayeed was not injured, but a police officer was injured in this incident. The Al-Omar Mujahedin was suspected responsible for the attack.","“Delhi TV reports swearing-in by new Kashmir ministry; attack on Sayeed's house,” New Delhi Doordarshan DD-1 National Television, November 2, 2002.",2002-11-02
2002,11,2,Jammu and Kashmir,Srinagar,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Congress Party leader Mohammad Sikandar Khan,Al-Madina,Firearms,4.0,0.0,"11/02/2002: In a series of related attacks, two perpetrators shot dead a Congress Party leader, two security guards, and a police officer in Srinagar, Kashmir, India. The al-Madina regiment claimed responsibility for the incident.","“Congress Party Leader Killed in Terrorist Attack in Kashmir,” New Delhi Aaj Tak Television, November 2, 2002.",2002-11-02
2002,11,2,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",A police colony in Srinagar,Al-Madina,Explosives,0.0,0.0,"11/02/2002: In a series of related attacks, Srinagar's police colony was attacked with rifle grenades. Two grenades hit an electric pole and did not cause any damage. No casualties were reported. The al-Madina regiment claimed responsibility for the incident.","“Congress Party Leader Killed in Terrorist Attack in Kashmir,” New Delhi Aaj Tak Television, November 2, 2002.",2002-11-02
2002,11,6,Jammu and Kashmir,Anantnag,Bombing/Explosion,Police,Police Security Forces/Officers,Indiscriminate civilians shopping at a market in Anantnag,Unknown,Explosives,1.0,13.0,"11/06/2002: Unknown perpetrators hurled a grenade at a police patrol in a market in Anantnag, a town of 31 miles south of Srinagar, Kashmir, India. The grenade missed the target and exploded among civilians, killing one and injuring 13. No group claimed responsibility for the blast.","""AFP: Eight Killed, 13 Injured in Kashmir Violence,” Hong Kong AFP, November 6, 2002.",2002-11-06
2002,11,8,Jammu and Kashmir,Wawoora,Armed Assault,Police,Police Security Forces/Officers,Former militant Special Police Officer in a mosque in the Wawoora village,Unknown,Firearms,1.0,2.0,"11/08/2002: Unknown perpetrators shot and injured a former Special Police Officer among prayers in a mosque in the Wawoora village of Kupwara District, Kashmir, India. The victim was praying in a mosque on the first Friday of the Ramadan. A second person was injured and a third killed in the incident. No group claimed responsibility.","""Four Islamic Militants among Eight Killed in Kashmir,” Agence France Presse, November 8, 2002.",2002-11-08
2002,11,8,Jammu and Kashmir,Anantnag district,Armed Assault,Police,Police Security Forces/Officers,Former militant Special Police Officer in the Anantanag District,Unknown,Firearms,1.0,3.0,"11/08/2002: An unknown perpetrator shot dead a former Special Police Officer in an unspecified town within the Anantanag District, 31 miles south of Srinagar, Jammu and Kashmir, India. The victim was praying in a mosque on the first Friday of the Ramadan. Three police officers were injured. The perpetrator was captured by local people and handed over to the police.","""Four Islamic Militants among Eight Killed in Kashmir,” Agence France Presse, November 8, 2002.",2002-11-08
2002,11,11,Jammu and Kashmir,Srinagar,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,The office of the Democratic Freedom Party (DFP),Unknown,Explosives,0.0,0.0,"11/11/2002: Unknown perpetrators hurled a grenade at the office of the Democratic Freedom Party (DFP) in Srinagar, Jammu and Kashmir, India. There was no damage and no casualties. Al-Umar Mujahedin claimed responsibility for the incident. The leader of the DFP, Shabir Shah, was considered a leading moderate.","""AFP: Indian Troops Kill 2 Pakistani Rebels in Kashmir; Separatist Office Attacked,” World News Connection, November 12, 2002.",2002-11-11
2002,11,11,Jammu and Kashmir,Ramsoo,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),CRPF bus driving in Ramsu village,Unknown,Explosives,7.0,5.0,"11/11/2002: A landmine was exploded when The Central Reserve Police Force (CRPF) bus, carrying police officers from Srinagar to Jammu, drove over the mine in Ramsu village, Doda district, Jammu and Kashmir, India. Seven police officers were killed and five injured. No group claimed responsibility for the incident.","""AFP: First Attack on Indian Troops under New Kashmir Government; Three Dead,” Hong Kong AFP, November 11, 2002.",2002-11-11
2002,11,13,Jammu and Kashmir,Lasana,Bombing/Explosion,Private Citizens & Property,Vehicles/Transportation,Passengers on a private-owned bus in Lasana,Unknown,Explosives,0.0,5.0,"11/13/2002: In a series of related incidents, an Improvised Explosive Device (IED) was detonated in an abandoned vehicle when a civilian bus and an army jeep near it in Lasana, Poonch district, Jammu and Kashmir, India. Four civilians and one soldier were injured and vehicles were damaged in the incident. No group claimed responsibility for the incident.","""Two Cops, Jawan Among Seven Injured in IED Blasts,” The Press Trust of India, November 13, 2002.",2002-11-13
2002,11,13,Jammu and Kashmir,Lasana,Bombing/Explosion,Police,Police Security Forces/Officers,Indian police officers in Lasana,Unknown,Explosives,0.0,2.0,"11/13/2002: In a series of related incidents, a bomb was exploded at the place where an Improvised Explosive Device was detonated one hour ago in Lasana, Poonch district, Jammu and Kashmir, India. Two police officers were injured from the blast. Perpetrators also fired from across a nearby river, but no one was injured from the gunshots. No group claimed responsibility for the incident.","""Two Cops, Jawan Among Seven Injured in IED Blasts,” The Press Trust of India, November 13, 2002.",2002-11-13
2002,11,20,Jammu and Kashmir,Bandipora,Assassination,Government (General),"Government Personnel (excluding police, military)","Ghulam Nabi Ganai, the elder brother of legislator Usman MajidIndian",Unknown,Firearms,1.0,6.0,"11/20/2002: Unknown perpetrators shot and killed Ghulam Nabi Ganai near the village of Bandipora, 60 kilometers north of Srinagar, Jammu and Kashmir, India. The victim was the elder brother of legislator Usman Majid, who was elected to the state assembly in October 2002. Two police officers and four civilians were injured. No group has claimed responsibility.","""Indian Kashmir: Suspected Muslim Militants Kill Brother of State Legislator,” Voice of America News, November 20, 2002.",2002-11-20
2002,11,21,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",A Central Reserve Police Force (CRPF) camp in Regal Chowk,Lashkar-e-Taiba (LeT),Explosives,8.0,10.0,"11/21/2002: Perpetrators stormed into a hotel serving as a Central Reserve Police Force (CRPF) camp in Regal Chowk, Srinagar, Jammu and Kashmir, India, killing six police officers and injuring 10. One suicide bomber made entry into the hotel with a grenade and detonated the grenade when confronted by a CRPF member. A second perpetrator was killed in a firefight. Lashkar-e-Taiba claimed responsibility for the incident.","""Lashkar 'S Back after A Lull: 6 CRPF Men Killed,” Indian Express, November 22, 2002.",2002-11-21
2002,11,23,Jammu and Kashmir,Lower Mundah,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Indian army bus located at Lower Munda,Jamiat ul-Mujahedin (JuM),Explosives,12.0,23.0,"11/23/2002: An Indian army bus hit a landmine at Lower Munda, about 60 miles south of Srinagar, Jammu and Kashmir, India. Twelve were killed and 23 were injured in the incident. Jamaat-ul Mujahideen and the Harkatul Jihad-e-Islami claimed responsibility for the attack.","""Rocket Atta 12 Killed, 23 Injured in Jammu, Kashmir,” XINHUA GENERAL NEWS SERVICE, November 23, 2002.",2002-11-23
2002,11,24,Jammu and Kashmir,Jammu,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Raghunath Temple in Jammu,Lashkar-e-Taiba (LeT),Explosives,13.0,52.0,"11/24/2002: Two perpetrators attacked the Raghunath Temple with guns and grenades in Jammu, Jammu and Kashmir, India. As the Indian army followed them into the temple, one perpetrator was killed and the other fled to the nearby Panchvaktar Temple. The other perpetrator was killed by the Indian army on November 25. Eleven were killed, including two Indian soldiers, and 52 were injured in the incident. Lashkar-e Taiba claimed the responsibility for the incident.","""Siege of Two Hindu Temples in Kashmir Leaves 12 Dead, Including Militants,” BC cycle, November 25, 2002.",2002-11-24
2002,11,28,Jammu and Kashmir,Srinagar,Bombing/Explosion,Journalists & Media,Radio Journalist/Staff/Facility,State-owned All India Radio station building in Srinagar,Al-Badr,Explosives,0.0,0.0,"11/28/2002: Perpetrators fired a rocket at a state-owned radio station, All India Radio, in Srinagar, Jammu and Kashmir, India, damaging some equipment and the exterior of the building. Pro-Pakistan al Badr claimed responsibility for the incident, which claimed no casualties.","""Delhi TV Reports Rocket Attack on Kashmir Radio, Television Stations,” New Delhi Doordarshan DD-1 National Television, November 28, 2002.",2002-11-28
2002,11,30,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",A Border Security Force camp in the Khanyar area of Srinagar,Unknown,Explosives,0.0,9.0,"11/30/2002: A device was exploded near a Border Security Force camp in the Khanyar area of Srinagar, Jammu and Kashmir, India, injuring 6 civilians and 3 police officers. A police vehicle and nearby houses were damaged. No group claimed responsibility for the attack.","""AFP: Five Civilians, 2 Policemen Injured in Blast in Kashmir Capital,” Hong Kong AFP, November 30, 2002.",2002-11-30
2002,12,1,Jammu and Kashmir,Unknown,Armed Assault,Military,Military Unit/Patrol/Convoy,"An Indian Army convoy in Kashmir, India",Muslim extremists,Firearms,10.0,,"12/01/2002: Unknown Muslim guerillas ambushed an Indian army convoy in Kashmir, India. Four guerillas and six Indian security personnel were killed in the attacks. No injuries were reported.","“Ten killed in clashes in Kashmir,” The Globe and Mail, December 2, 2002.",2002-12-01
2002,12,1,Jammu and Kashmir,Bun Doda,Armed Assault,Military,Paramilitary,Rashtriya Rifles,Lashkar-e-Taiba (LeT),Firearms,5.0,2.0,"12/01/2002: Two Lashkar-e Taiba members were killed when they tried to ambush Indian soldiers belonging the special counter-insurgency unit, Rashtriya Rifles. Two army soldiers and a civilian were killed while three others were injured in the attack in Bilalabad Mohalla in Bun Doda, Kashmir.","“Indian troops kill two suspected Islamic militants in Kashmir,” Agence France Presse, December 1, 2002.",2002-12-01
2002,12,2,Jammu and Kashmir,Damhal-Hanjipora,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)","Sakine Itoo, former Indian Tourism Minister, at his home in Damhal-Hanjipora",Unknown,Firearms,0.0,0.0,"12/02/2002: Unknown perpetrators attacked the house of former Tourism Minister, Sakine Itoo, in Damhal-Hanjipora, India, with grenades and assault rifles. No casualties resulted form the attack","“Militants attack former minister’s house in Kashmir; one civilian killed,” Jammu Daily Excelsior, December 2, 2002.",2002-12-02
2002,12,5,Jammu and Kashmir,Pulwama,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Patrol,Unknown,Explosives,0.0,10.0,"12/05/2002: Unknown perpetrators threw a grenade at a patrol of the federal Central Reserve Police Force (CRPF) in Pulwama, India, injuring 10 people but killing none.","“Militants kill former Kashmir minister’s brother; 11 hurt in grenade blast,” Jammu Daily Excelsior, December 5, 2002.",2002-12-05
2002,12,12,Jammu and Kashmir,Srinagar,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)","Indian soldiers standing guard in the Raj Bagh locality of Srinagar, India",Al-Nasirin (India),Explosives,0.0,7.0,"12/12/2002: Seven Indian soldiers were injured when suspected Islamic militants exploded a powerful bomb attached to a bicycle in Srinagar, India. According to a local news agency, two little-known militant groups, Save Kashmir Movement and al Naseereen, claimed responsibility for the attack.","Kashmir explosions, shoot-outs leave seven dead, 25 wounded,” Agence France Presse, December 12, 2002.",2002-12-12
